Network,Module,Predictor,Estimate,Pval,MO_Sets,Broad_Sets
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,cornsilk2,Region,-0.517011121723403,0.0413948461146717,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,coral3,Genotype,0.365804749080811,0.0251291215564755,LaMANNO_MICROGLIA_MIDBRAIN (1.2e-08) | SIEGERT_RETINAL_MICROGLIA (8e-07),
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,mediumblue,Interaction,0.558084131441968,0.0422699354180126,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,sienna2,Genotype,0.655484127658877,0.00368213710462129,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,powderblue,Genotype,0.531372308848899,0.0137352828584688,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,dodgerblue2,Genotype,0.563604998546937,0.0161353498950423,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,thistle1,Genotype,0.512043887133198,0.0291364863968181,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,mistyrose1,Region,-0.600256933396376,0.0140551795251842,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,lightgreen,Genotype,-0.346133235890309,0.0122325948989151,BARRES_ASTROCYTES (4.4e-25) | ZEISEL_ASTROCYTE (9.9e-21) | BARRES_OLIGODENDROCYTES (1.6e-19) | ZHANG_MOUSE_ASTROCYTES_2014 (2.5e-18) | OLDHAM_CORTEX_MODULE_TURQUOISE (2.7e-18) | kelley_astro (1.2e-17) | ZHANG_MOUSE_OPC_2014 (9.7e-17) | AYHAN_2021_CA2_DE_NEU_CLUSTERS (2.3e-16) | SIM_HUMAN_OLIGODENDROCYTE_PRECURSOR_CELLS (6.6e-16) | AYHAN_2021_OLIG4 (9.2e-16) | ABA_OLIGODENDROCYTES (9.1e-15) | MGI_MP:0000953__ABNORMAL_OLIGODENDROCYTE_MORPHOLOGY (9.7e-15) | JAKEL_2019_OLIGODENDROCYTE3 (2.1e-14) | BERNARD_LAYER_VI_CORTEX_ENRICHED (2.7e-14) | LUO_2019_OLIGO_MBP_AGAP1_DE_GLIAL_CLUSTERS (4.6e-14) | OLDHAM_CORTEX_MODULE_BROWN (4.7e-14) | JAKEL_2019_OLIGODENDROCYTE3_DE_OG_CLUSTERS (1.5e-13) | DOYLE_CORTICAL_OLIGODENDROCYTES_CMTM5 (1.7e-13) | ZEISEL_OLIGODENDROCYTE (1.9e-13) | ZHANG_MOUSE_MYELINATING_OLIGOS_2014 (3.9e-13) | MORABITO_2021_OLIGO8_DE_SUBTYPE_CLUSTERS (7.9e-13) | JAKEL_2019_OLIGODENDROCYTE6 (1.2e-12) | AGARWAL_CTX_2020_OPC (2.7e-12) | OLDHAM_CAUDATE_NUCLEUS_MODULE_TURQUOISE (3.3e-12) | AGARWAL_CTX_2020_ODC (5.1e-12) | OLDHAM_CEREBELLUM_MODULE_TURQUOISE (6.1e-12) | AYHAN_2021_GRA_NEU5_DE_NEU_CLUSTERS (7.9e-11) | Suva_single_cell_astrocytoma_Oligo_program_genes_Fig2C (1.4e-10) | AYHAN_2021_OLIG5 (1.6e-10) | JAKEL_2019_ASTROCYTE1 (2e-10) | kelley_oligo (3.4e-10) | PHILLIPS_MOST_DIFF_EXP_IN_PN_SUBTYPE_338_GENES (3.8e-10) | AYHAN_2021_OLIG2 (6.2e-10) | MGI_MP:0000745__TREMORS (6.7e-10) | YANG_2021_ASTROCYTE (8.5e-10) | JAKEL_2019_OPC (1.3e-09) | AYHAN_2021_GRA_NEU7_DE_NEU_CLUSTERS (2.4e-09) | AGARWAL_CTX_2020_MICROGLIA (2.5e-09) | DOYLE_BERGMAN_GLIA_CORRECTED (2.8e-09) | YANG_PFC_2021_OPC (3e-09) | GOKCE_OPC_STR (4.1e-09) | VELMESHEV_2019_AST_PP (4.1e-09) | AYHAN_2021_ASTRO1 (5.1e-09) | YANG_2021_OLIGO (5.9e-09) | kelley_astro (6.1e-09) | JAKEL_2019_OLIGODENDROCYTE2 (6.1e-09) | JAKEL_2019_OLIGODENDROCYTE5 (8.1e-09) | AGARWAL_SN_2020_ODC_2 (1e-08) | AYHAN_2021_OPC3 (1e-08) | FIETZ_hOSVZ>hVZ+hISVZ+hCP (1.2e-08) | MGI_MP:0001393__ATAXIA (2.4e-08) | HABIB_2017_ODC1 (2.4e-08) | LUO_2019_OLIGO_MBP_MOBP_DE_GLIAL_CLUSTERS (3.4e-08) | DOYLE_CEREBELLAR_ASTROCYTES (3.4e-08) | TRAN_HIP_2020_OPC_COP_DE_PAIRWISE (4.4e-08) | TRAN_AMY_2020_ASTRO_DE_PAIRWISE (5.1e-08) | TRAN_DLPFC_2020_ASTRO_DE_PAIRWISE (5.1e-08) | MORABITO_2021_OLIGO9_DE_SUBTYPE_CLUSTERS (5.4e-08) | DOYLE_CEREBELLAR_OLIGODENDROCYTES_CMTM5 (6.5e-08) | LOVATT_ASTROCYTES (6.8e-08) | AGARWAL_SN_2020_OPC (7.3e-08) | LI_2018_OLIGO (9.2e-08) | LI_2018_ASTRO (1.2e-07) | KAWAGUCHI_E14_CORTICAL_APICAL_PROGENITOR_CELLS (1.7e-07) | MORABITO_2021_OLIGO10_DE_SUBTYPE_CLUSTERS (1.7e-07) | BACHOO_ASTROCYTES_SVM (1.8e-07) | kelley_oligo (2.5e-07) | Suva_single_cell_astrocytoma_PC1/2_low_genes_oligo_like_genes_fig2A (2.7e-07) | Tesar_OPC_genes (2.8e-07) | JAKEL_2019_OLIGODENDROCYTE4 (3.3e-07) | MORABITO_2021_OLIGO7_DE_SUBTYPE_CLUSTERS (3.8e-07) | AGARWAL_SN_2020_ODC_3 (4.2e-07) | VELMESHEV_2019_OLIGODENDROCYTES (4.8e-07) | VERHAAK_TCGA_PRONEURAL_GBM_SUBTYPE (4.9e-07) | LAKE_2018_CER_OLI (5.2e-07) | STANFORD_BRAIN_SW (6.2e-07) | MGI_MP:0001732__POSTNATAL_GROWTH_RETARDATION (7e-07) | MGI_MP:0000920__ABNORMAL_MYELINATION (8.7e-07) | NAGY_2020_OLIG3 (9.8e-07) | TURCAN_CpG_HYPOMETHYLATED_IN_IDH1MUT_CLINICAL_SAMPLES_418_GENES (1.3e-06) | HABIB_2017_OPC (1.4e-06) | ABSINTA_2021_NONREACTIVE_ASTROCYTE_DE_ASC_CLUSTERS (1.5e-06) | JAKEL_2019_COPS_DE_OG_CLUSTERS (2e-06) | MORABITO_2021_OLIGO11_DE_SUBTYPE_CLUSTERS (2.3e-06) | JAKEL_2019_OPC_DE_OG_CLUSTERS (2.4e-06) | LUO_2019_ASTRO_FGF3R_CABLES1_DE_GLIAL_CLUSTERS (2.5e-06) | TRAN_ACC_2020_OLIGO_A (2.7e-06) | TRAN_HIP_2020_ASTRO_A_DE_PAIRWISE (2.7e-06) | TRAN_NAC_2020_OLIGO_A (2.7e-06) | MGI_MP:0000755__HINDLIMB_PARALYSIS (3e-06) | TRAN_ACC_2020_ASTRO_A (3e-06) | TRAN_ACC_2020_ASTRO_A_DE_PAIRWISE (3e-06) | TRAN_HIP_2020_OPC_COP (3e-06) | TRAN_NAC_2020_ASTRO_A (3e-06) | TRAN_NAC_2020_ASTRO_A_DE_PAIRWISE (3e-06) | FOSTER_MITOCHONDRIA_PROTEINS (3.2e-06) | SCHIRMER_2019_ASTROCYTES (3.3e-06) | TRAN_AMY_2020_OLIGO (3.4e-06) | TRAN_AMY_2020_OLIGO_DE_PAIRWISE (3.4e-06) | TRAN_DLPFC_2020_OLIGO (3.4e-06) | TRAN_DLPFC_2020_OLIGO_DE_PAIRWISE (3.4e-06) | kelley_OPC (3.9e-06) | MATHYS_2019_OPC1_DE_SUBTYPE_CLUSTERS (4e-06) | ABA_ASTROCYTES (4.3e-06) | TRAN_ACC_2020_OLIGO_B (4.3e-06) | TRAN_NAC_2020_OLIGO_B (4.3e-06) | NOUSHMEHR_HYPERMETHYLATED_DOWNREGULATED_AFFY_IN_GCIMP_PRONEURAL_242_GENES (5.1e-06) | SCHULLER_UP_CEREBELLAR_GLIA (5.3e-06) | TURCAN_HYPOMETHYLATED_UPREGULATED_IN_IDH1MUT_CLINICAL_SAMPLES_236_GENES (6.2e-06) | LAKE_2018_OLI (8.4e-06) | MORABITO_2021_ASTROCYTE4_DE_SUBTYPE_CLUSTERS (8.4e-06) | MGI_MP:0001429__DEHYDRATION (9.5e-06),
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,khaki3,Genotype,-0.480628984819791,0.0185206354491527,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,blue,Region,-0.460185965024267,0.00773520159498625,ZEISEL_EPENDYMAL (2.2e-09) | kelley_Ependymal (8e-09) | HABIB_2017_EPENDYMAL (1.8e-08) | YANG_2021_EPENDYMAL (2.7e-07) | SUGINO_UP_GABAERGIC_NEURONS (3.1e-07) | JACQUET_DOWN_IN_FOXJ1_NULL_ADULT_STEM_CELL_NICHE (7.1e-07),
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,magenta,Region,-0.598372536531672,0.00827852375092344,ZEISEL_CA1PYRAMIDAL (7.5e-19) | Gokce_mouse_D1_MSN_SC_RNAseq (2.1e-15) | GOKCE_D1MSN (2.1e-15) | AYHAN_2021_IN_NEU3_DE_NEU_CLUSTERS (3.7e-11) | MATHYS_2019_IN8_DE_SUBTYPE_CLUSTERS (4.3e-11) | YANG_PFC_2021_SST_INTERNEURON (7e-11) | LAKE_2018_IN4B (1.7e-09) | AYHAN_2021_IN_NEU5_DE_NEU_CLUSTERS (2.4e-09) | Layer2_He_NatNeuro_2017 (3e-09) | BAKKEN_2019_SNCG_GABAERGIC_DE_GABA_CLUSTERS (3.1e-09) | MATHYS_2019_IN11_DE_SUBTYPE_CLUSTERS (5e-09) | LUO_2019_INH_CGE_NDNF_CPNE2_DE_NEURON_CLUSTERS (5.3e-09) | AGARWAL_CTX_2020_IN5_DE_IN_CLUSTERS (1.1e-08) | YANG_PFC_2021_SV2C_INTERNEURON (2.1e-08) | YANG_2021_NEURON (3.3e-08) | BAKKEN_2019_L5_6_NP_GLUTAMATERGIC_DE_GLUT_CLUSTERS (3.9e-08) | LAKE_2018_IN8 (5.2e-08) | LAKE_2018_IN1A (5.8e-08) | Gokce_D1_Cxcl14_MSN_SC_RNAseq (9.2e-08) | GOKCE_D1_CXCL14_MSN (9.2e-08) | LAU_2020_INHIT (1.1e-07) | AYHAN_2021_CA3_2_DE_NEU_CLUSTERS (1.2e-07) | LAKE_2018_IN4B_DE_IN_CLUSTERS (1.5e-07) | LAKE_2018_IN7 (1.7e-07) | AGARWAL_CTX_2020_IN4B_DE_IN_CLUSTERS (2.4e-07) | LAKE_2018_IN1B (2.5e-07) | LOH_EXCITATORY_SYNAPSE_PROTEOME_TruePos (3.6e-07) | MANCARCI_NORADRENERGIC_LC (4e-07) | HABIB_2017_GABA1 (4.5e-07) | AYHAN_2021_IN_NEU1_DE_NEU_CLUSTERS (7.4e-07) | MATHYS_2019_EX0_DE_SUBTYPE_CLUSTERS (7.6e-07) | LOH_EXCITATORY_SYNAPSE_PROTEOME (7.8e-07) | TRAN_AMY_2020_INHIB_C (9.7e-07) | TRAN_DLPFC_2020_INHIB_C (9.7e-07) | AGARWAL_CTX_2020_IN4B (1.2e-06) | RUNNE_DOWN_IN_HD_MODEL (1.5e-06) | AGARWAL_CTX_2020_IN8_DE_IN_CLUSTERS (1.6e-06) | LAKE_2018_IN6B (1.8e-06) | BAKKEN_2019_LAMP5_GABAERGIC_DE_GABA_CLUSTERS (2.1e-06) | YANG_2021_OPC (2.4e-06) | BAKKEN_2019_L2_3_IT_GLUTAMATERGIC_DE_GLUT_CLUSTERS (2.5e-06) | LAKE_2018_IN2 (2.6e-06) | MATHYS_2019_IN5_DE_SUBTYPE_CLUSTERS (2.6e-06) | LAKE_2018_IN1C (4.2e-06) | JAKEL_2019_NEURON3 (4.2e-06) | GAD_NERVOUS_SYSTEM_DISEASES_HUNTINGTON_DISEASE (4.6e-06) | YANG_PFC_2021_VIP_INTERNEURON (5.9e-06) | MANCARCI_CHOLINERGIC_BF (6.5e-06) | AGARWAL_CTX_2020_IN4A (6.5e-06) | AYHAN_2021_IN_NEU4_DE_NEU_CLUSTERS (7.5e-06) | LAKE_2018_EX1_DE_EX_CLUSTERS (8.6e-06),
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,white,Region,-0.579375047577793,0.00225709813243154,MGI_MP:0003329__AMYLOID_BETA_DEPOSITS (6.4e-07),
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,mediumpurple2,Region,-0.459302840816455,0.0264578034021724,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,darkblue,Region,-0.546281006667654,0.0232999260206275,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,thistle,Region,-0.53008726872862,0.014859256414875,MGI_MP:0001762__POLYURIA (5.9e-08) | LI_2018_VSMC (1.2e-07) | ZAMANIAN_UP_IN_MCAO_REACTIVE_ASTROCYTES (1.9e-07) | MGI_MP:0002988__DECREASED_URINE_OSMOLALITY (1.2e-06),
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,thistle3,Region,-0.429855709844526,0.0494816876759928,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,orangered,Genotype,0.582731826841443,0.00351131864576069,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,navajowhite1,Genotype,0.392185275083152,0.0342224012074068,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,cyan4,Interaction,-0.755417501307562,0.0311717249523653,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,antiquewhite2,Genotype,-0.511124176585599,0.0281854009145121,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,violet,Region,-0.569267279340644,0.0195727984875209,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,lightseagreen,Genotype,-0.499225583598512,0.0210680025995511,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,royalblue,Region,-0.422677607778918,0.0183540740009063,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,orangered2,Region,-0.477517933751187,0.018507297079929,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,plum4,Genotype,-0.548521986822653,0.00040625671364454,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,palegreen3,Genotype,-0.621090953813683,0.00487792265006051,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,coral,Region,-0.48425962566922,0.0214190814310853,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,indianred4,Region,-0.654598157174361,0.000467690567221406,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,red4,Region,-0.524640006850503,0.0187592729250613,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,cyan,Genotype,-0.361148283575234,0.0476666952450153,OLDHAM_CORTEX_MODULE_GREEN (6.2e-17) | VELMESHEV_2019_NEU_NRGN_I (3.3e-15) | VELMESHEV_2019_NEU_NRGN_II (8.9e-14) | ZHANG_MOUSE_ASTROCYTES_2014 (2.9e-13) | JAKEL_2019_NEURON4 (7.4e-13) | NAGY_2020_EX5 (1.1e-12) | MATHYS_2019_EX4_DE_SUBTYPE_CLUSTERS (2e-12) | LAKE_2018_EX3E (1.8e-11) | LUO_2019_ASTRO_FGF3R_CABLES1_DE_GLIAL_CLUSTERS (2.7e-10) | MATHYS_2019_EX8_DE_SUBTYPE_CLUSTERS (3.1e-10) | OLDHAM_CORTEX_MODULE_PINK (8.2e-10) | BARRES_ASTROCYTES (2.3e-09) | ZEISEL_ASTROCYTE (6.8e-09) | LAKE_2018_EX3E_DE_EX_CLUSTERS (9.3e-09) | OLDHAM_CORTEX_MODULE_BROWN (2.8e-08) | STANFORD_BRAIN_SW (4.4e-08) | LAKE_2018_EX3C (1e-07) | LAKE_2018_IN1A (1.1e-07) | kelley_astro (1.2e-07) | AYHAN_2021_ASTRO1 (1.2e-07) | LOH_EXCITATORY_SYNAPSE_PROTEOME (1.3e-07) | DRD2_STR_MetaCor (2.3e-07) | FOSTER_MITOCHONDRIA_PROTEINS (3.1e-07) | MORCIANO_SYNAPTIC_VESICLES (3.6e-07) | G2C_MITOCHONDRIA (5.9e-07) | FIETZ_EXTRACELLULAR_MATRIX_GENE_CLUSTER_97_hCP+mCP+mSVZ>hVZ+hISVZ+hOSVZ+mVZ (8.6e-07) | KAWAGUCHI_E14_CORTICAL_APICAL_PROGENITOR_CELLS (9.8e-07) | SCHIRMER_2019_EX_L2_3 (1e-06) | DOYLE_CEREBELLAR_ASTROCYTES (1.5e-06) | FIETZ_mSVZ<mVZ+mCP (1.7e-06) | G2C_SYNAPTOSOME (1.8e-06) | MGI_MP:0002910__ABNORMAL_EXCITATORY_POSTSYNAPTIC_CURRENTS (2.7e-06) | AYHAN_2021_GRA_NEU4_DE_NEU_CLUSTERS (4e-06) | MATHYS_2019_OPC1_DE_SUBTYPE_CLUSTERS (5.4e-06) | WATKINS_MEGAKARYOCYTES (6.3e-06) | JAKEL_2019_OLIGODENDROCYTE5_DE_OG_CLUSTERS (8.8e-06) | JAKEL_2019_ASTROCYTE1 (1e-05),
Bicor-None_signum0.508_minSize12_merge_ME_0.85_18566,lightpink4,Genotype,0.420400031172806,0.0307768802565797,,
Bicor-None_signum0.508_minSize12_merge_ME_0.85_18566,brown2,Region,-0.381904719397248,0.0119550515240222,,
Bicor-None_signum0.508_minSize12_merge_ME_0.85_18566,darkseagreen1,Genotype,0.473064296683618,0.00851532458628991,,
Bicor-None_signum0.508_minSize12_merge_ME_0.85_18566,antiquewhite1,Genotype,0.580791242704497,0.0183645231247935,,
Bicor-None_signum0.508_minSize12_merge_ME_0.85_18566,brown4,Genotype,0.512043887133198,0.0291364863968181,,
Bicor-None_signum0.508_minSize12_merge_ME_0.85_18566,palevioletred2,Genotype,-0.511124176585599,0.0281854009145121,,
Bicor-None_signum0.508_minSize12_merge_ME_0.85_18566,whitesmoke,Region,0.599572233593855,0.00985933362535835,,
Bicor-None_signum0.508_minSize12_merge_ME_0.85_18566,white,Region,0.596749576474285,0.00764197805632308,ZEISEL_S1PYRAMIDAL (5.4e-11) | YANG_PFC_2021_L4_EXCITATORY_NEURON (6.9e-10) | AYHAN_2021_IN_NEU2_DE_NEU_CLUSTERS (1.2e-09) | AYHAN_2021_INH_GAD1_4_DE_IN_GAD1_CLUSTERS (1.2e-08) | LAKE_2018_EX5B (1.6e-08) | ABSINTA_2021_NEURON (2.9e-08) | JAKEL_2019_NEURON3 (3.1e-08) | MATHYS_2019_EX7_DE_SUBTYPE_CLUSTERS (6.9e-08) | BAKKEN_2019_L5_6_NP_GLUTAMATERGIC_DE_GLUT_CLUSTERS (6.9e-08) | BAKKEN_2019_L5_IT_GLUTAMATERGIC_DE_GLUT_CLUSTERS (9.3e-08) | YANG_PFC_2021_L2_3_EXCITATORY_NEURON (1.3e-07) | AGARWAL_CTX_2020_EX4_DE_EX_CLUSTERS (3.1e-07) | MATHYS_2019_EX12_DE_SUBTYPE_CLUSTERS (3.3e-07) | AYHAN_2021_IN_NEU3_DE_NEU_CLUSTERS (3.4e-07) | AYHAN_2021_INH_GAD1_8_DE_IN_GAD1_CLUSTERS (3.8e-07) | AGARWAL_CTX_2020_EX5A_DE_EX_CLUSTERS (4.8e-07) | YANG_PFC_2021_L5_6_CC_EXCITATORY_NEURON (5.5e-07) | MATHYS_2019_EX2_DE_SUBTYPE_CLUSTERS (5.9e-07) | AGARWAL_CTX_2020_EX5B (7.4e-07) | JAKEL_2019_OPC_DE_OG_CLUSTERS (7.8e-07) | LAU_2020_EXCIT (8.1e-07) | AYHAN_2021_IN_NEU5_DE_NEU_CLUSTERS (8.3e-07) | YANG_PFC_2021_L5_6_EXCITATORY_NEURON (9.3e-07) | LAKE_2018_PURK1 (1.2e-06) | Layer3_He_NatNeuro_2017 (1.4e-06) | LAKE_2018_EX4 (1.5e-06) | LAKE_2018_EX1 (1.6e-06) | ABSINTA_2021_NONREACTIVE_ASTROCYTE_DE_ASC_CLUSTERS (1.6e-06) | LAKE_2018_PURK2_DE_IN_CLUSTERS (1.9e-06) | AYHAN_2021_DEN_GYR3 (1.9e-06) | MORABITO_2021_OPC1_DE_SUBTYPE_CLUSTERS (3.3e-06) | MORABITO_2021_OPC2_DE_SUBTYPE_CLUSTERS (3.3e-06) | AGARWAL_CTX_2020_EX6B (3.5e-06) | LUO_2019_EXC_L6_TLE4_ZNF385B_DE_NEURON_CLUSTERS (3.7e-06) | AYHAN_2021_INH_GAD1_1_DE_IN_GAD1_CLUSTERS (4e-06) | AYHAN_2021_CA3_1_DE_NEU_CLUSTERS (4.6e-06) | ABSINTA_2021_OPC (4.7e-06) | LAKE_2018_EX6B (5.5e-06) | ABSINTA_2021_IMMUNE_OPC_DE_OG_CLUSTERS (6.8e-06) | HABIB_2017_GLUT2_DE_GLUT_CLUSTERS (6.9e-06) | LUO_2019_EXC_L4_6_LRRK1_RXRG_DE_NEURON_CLUSTERS (7.4e-06) | MATHYS_2019_EX5_DE_SUBTYPE_CLUSTERS (8e-06) | MORABITO_2021_EX3_DE_SUBTYPE_CLUSTERS (9.2e-06) | AYHAN_2021_INH_GAD1_0_DE_IN_GAD1_CLUSTERS (1e-05),
Bicor-None_signum0.508_minSize12_merge_ME_0.85_18566,sienna2,Region,0.492387850406628,0.0307477701215113,HPRD_WNT_SIGNALING_PATHWAY (1.8e-06),
